-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 03/31/2020 
Location: Latitude  34.6078   Longitude 43.6908 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 140.22 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,T2M_MAX,T2M_MIN,T2M,WS10M,ALLSKY_SFC_LW_DWN,TS,WS10M_MIN,WS10M_MAX,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
34.60781,43.69081,1990,03,31,   34.79,   27.54,   12.34,   20.16,    2.30,              7.51,   20.79,    0.17,    4.54,              0.66,              6.67,              6.15
34.60781,43.69081,1990,04,01,   61.00,   18.81,   13.57,   15.72,    3.36,              8.11,   15.50,    0.39,    7.70,              0.32,              6.10,              3.02
34.60781,43.69081,1990,04,02,   61.64,   20.42,   11.70,   15.41,    4.75,              7.77,   16.17,    0.54,    8.85,              0.50,              5.26,              4.71
34.60781,43.69081,1990,04,03,   54.60,   19.86,    9.25,   13.68,    3.90,              7.65,   14.31,    2.32,    6.29,              0.55,              5.70,              5.24
34.60781,43.69081,1990,04,04,   48.29,   20.90,    7.49,   13.83,    2.78,              7.15,   14.66,    0.80,    4.86,              0.57,              5.98,              5.43
34.60781,43.69081,1990,04,05,   48.14,   21.69,    7.40,   14.70,    2.99,              7.30,   15.52,    1.28,    5.29,              0.62,              6.04,              5.93
34.60781,43.69081,1990,04,06,   44.33,   22.26,    9.62,   15.67,    2.53,              8.14,   16.04,    0.51,    4.70,              0.61,              6.19,              5.87
34.60781,43.69081,1990,04,07,   45.55,   23.98,    9.32,   16.37,    3.07,              7.67,   17.54,    1.38,    5.38,              0.58,              6.42,              5.57
34.60781,43.69081,1990,04,08,   42.62,   25.15,   10.93,   17.53,    2.70,              7.47,   18.29,    1.09,    4.75,              0.57,              5.93,              5.57
34.60781,43.69081,1990,04,09,   39.29,   25.77,   10.60,   18.09,    3.32,              8.38,   18.61,    1.05,    4.64,              0.31,              6.45,              3.07
34.60781,43.69081,1990,04,10,   37.22,   28.06,   12.18,   19.76,    2.97,              8.32,   21.10,    0.67,    5.30,              0.60,              6.07,              5.88
34.60781,43.69081,1990,04,11,   37.52,   27.32,   12.61,   20.21,    2.83,              8.18,   20.80,    1.96,    5.67,              0.41,              6.63,              4.05
34.60781,43.69081,1990,04,12,   33.49,   29.47,   16.34,   22.28,    5.50,              8.91,   22.11,    2.45,    9.54,              0.35,              6.54,              3.51
34.60781,43.69081,1990,04,13,   46.45,   26.59,   15.79,   20.46,    3.91,              8.76,   21.06,    1.03,    6.45,              0.34,              6.54,              3.41
34.60781,43.69081,1990,04,14,   36.33,   29.25,   13.16,   21.35,    2.86,              7.55,   22.27,    1.27,    3.88,              0.63,              6.28,              6.30
34.60781,43.69081,1990,04,15,   42.12,   25.32,   13.50,   19.02,    5.57,              7.35,   19.89,    2.04,    8.76,              0.60,              6.04,              6.04
34.60781,43.69081,1990,04,16,   41.31,   26.02,   10.22,   18.06,    4.20,              8.24,   19.28,    2.69,    7.23,              0.59,              6.77,              5.99
